      Freq,     Re(Av),     Im(Av),     Re(Ai),     Im(Ai),    Re(Pin),    Im(Pin),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout), 
        Hz,           ,           ,           ,           ,          W,          W,          W,          W,       Ohms,       Ohms,       Ohms,       Ohms,          V,          V,          V,          V,          A,          A,          A,          A, 
 8.121E+05, -1.951E-02,  6.729E-02, -7.504E-01, -1.742E-01,  2.411E-03,  4.460E-02,  2.411E-03,  1.084E-19,  2.967E+01,  5.490E+02,  3.149E+00,  1.727E+02,  4.935E+00,  4.460E-01, -1.263E-01,  3.234E-01,  1.295E-03, -8.920E-03, -2.526E-03,  6.468E-03, 
 8.188E+05,  9.368E-03, -7.760E-02,  2.286E-01,  2.344E-02,  2.708E-03,  1.508E-01,  2.708E-03,  0.000E+00,  2.640E+00,  1.470E+02,  1.962E+01,  4.198E+02,  4.460E+00,  1.508E+00,  1.588E-01, -3.320E-01,  1.080E-02, -3.015E-02,  3.175E-03, -6.639E-03, 
 8.255E+05, -3.842E-02,  8.807E-02, -6.847E-01, -2.434E-01,  4.456E-03,  6.366E-02,  4.456E-03,  0.000E+00,  2.640E+01,  3.772E+02,  2.852E+00,  1.149E+02,  4.871E+00,  6.366E-01, -2.432E-01,  4.045E-01,  2.579E-03, -1.273E-02, -4.865E-03,  8.091E-03, 
 8.322E+05,  1.070E-02, -7.831E-02,  2.133E-01,  2.546E-02,  2.721E-03,  1.602E-01,  2.721E-03,  0.000E+00,  2.307E+00,  1.359E+02,  1.544E+01,  3.709E+02,  4.383E+00,  1.602E+00,  1.724E-01, -3.261E-01,  1.234E-02, -3.205E-02,  3.447E-03, -6.522E-03, 
 8.389E+05, -5.902E-02,  1.111E-01, -9.602E-01, -3.605E-01,  7.556E-03,  5.809E-02,  7.556E-03, -4.337E-19,  5.260E+01,  4.044E+02,  3.561E+00,  9.441E+01,  4.853E+00,  5.809E-01, -3.509E-01,  5.046E-01,  2.948E-03, -1.162E-02, -7.018E-03,  1.009E-02, 
 8.456E+05,  4.127E-03, -3.281E-02,  1.607E-01,  1.934E-02,  5.237E-04,  9.783E-02,  5.237E-04,  0.000E+00,  1.311E+00,  2.448E+02,  3.381E+00,  3.982E+02,  4.795E+00,  9.783E-01,  5.188E-02, -1.533E-01,  4.101E-03, -1.957E-02,  1.038E-03, -3.066E-03, 
 8.524E+05, -5.216E-02,  1.906E-01, -2.500E+00,  4.185E+00,  1.809E-02,  5.030E-03,  1.809E-02,  0.000E+00,  1.188E+03,  3.305E+02,  2.756E+01,  1.791E+02,  4.812E+00,  5.030E-02, -2.605E-01,  9.146E-01,  3.769E-03, -1.006E-03, -5.211E-03,  1.829E-02, 
 8.591E+05,  2.941E-03, -2.632E-02,  2.814E-01,  2.931E-02,  3.473E-04,  4.634E-02,  3.473E-04,  0.000E+00,  4.002E+00,  5.341E+02,  2.824E+00,  4.477E+02,  4.953E+00,  4.634E-01,  2.677E-02, -1.290E-01,  9.371E-04, -9.267E-03,  5.353E-04, -2.580E-03, 
 8.658E+05,  2.600E-02, -6.639E-02,  3.762E-01,  1.351E-01,  2.440E-03,  8.555E-02,  2.440E-03,  0.000E+00,  7.990E+00,  2.802E+02,  1.860E+00,  1.280E+02,  4.823E+00,  8.555E-01,  1.822E-01, -2.980E-01,  3.541E-03, -1.711E-02,  3.644E-03, -5.959E-03, 
 8.725E+05, -3.462E-03,  3.277E-02, -1.520E-01, -1.528E-02,  5.176E-04,  1.028E-01,  5.176E-04, -2.711E-20,  1.167E+00,  2.318E+02,  4.718E+00,  4.743E+02,  4.773E+00,  1.028E+00, -5.022E-02,  1.528E-01,  4.540E-03, -2.057E-02, -1.004E-03,  3.057E-03, 
 8.792E+05, -2.794E-02,  9.705E-02, -2.721E-01, -7.004E-02,  4.436E-03,  1.563E-01,  4.436E-03, -4.337E-19,  3.947E+00,  1.391E+02,  6.029E+00,  1.756E+02,  4.394E+00,  1.563E+00, -2.744E-01,  3.827E-01,  1.213E-02, -3.125E-02, -5.488E-03,  7.655E-03, 
 8.859E+05,  5.993E-03, -7.267E-02,  2.281E-01,  1.499E-02,  2.390E-03,  1.433E-01,  2.390E-03,  0.000E+00,  2.614E+00,  1.568E+02,  3.695E+01,  6.157E+02,  4.519E+00,  1.433E+00,  1.312E-01, -3.198E-01,  9.621E-03, -2.867E-02,  2.625E-03, -6.396E-03, 
