      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),     Re(Av),     Im(Av),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),     Re(Ai),     Im(Ai),    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),    Re(Pin),    Im(Pin),   Re(Pout),   Im(Pout), 
        Hz,          V,          V,          V,          V,           ,           ,          A,          A,          A,          A,           ,           ,       Ohms,       Ohms,       Ohms,       Ohms,          W,          W,          W,          W, 
 4.082E+06,  4.925E+00,  6.085E-01, -1.124E-03,  4.478E-03, -1.141E-04,  9.233E-04,  1.504E-03, -1.217E-02, -2.247E-05,  8.955E-05, -7.473E-03, -9.232E-04,  2.835E-03,  4.047E+02,  2.835E-03,  4.047E+02,  4.262E-07,  6.085E-02,  4.262E-07,  0.000E+00, 
 4.286E+06,  4.932E+00,  5.799E-01, -9.251E-04,  3.879E-03, -9.379E-05,  7.976E-04,  1.364E-03, -1.160E-02, -1.850E-05,  7.758E-05, -6.783E-03, -7.975E-04,  2.332E-03,  4.252E+02,  2.332E-03,  4.252E+02,  3.181E-07,  5.799E-02,  3.181E-07,  0.000E+00, 
 4.490E+06,  4.938E+00,  5.539E-01, -7.685E-04,  3.382E-03, -7.781E-05,  6.937E-04,  1.243E-03, -1.108E-02, -1.537E-05,  6.764E-05, -6.184E-03, -6.937E-04,  1.936E-03,  4.457E+02,  1.936E-03,  4.457E+02,  2.406E-07,  5.539E-02,  2.406E-07, -6.617E-24, 
 4.694E+06,  4.943E+00,  5.301E-01, -6.436E-04,  2.966E-03, -6.510E-05,  6.071E-04,  1.137E-03, -1.060E-02, -1.287E-05,  5.933E-05, -5.661E-03, -6.071E-04,  1.621E-03,  4.662E+02,  1.621E-03,  4.662E+02,  1.843E-07,  5.301E-02,  1.843E-07,  0.000E+00, 
 4.898E+06,  4.948E+00,  5.082E-01, -5.431E-04,  2.616E-03, -5.489E-05,  5.343E-04,  1.044E-03, -1.016E-02, -1.086E-05,  5.232E-05, -5.201E-03, -5.343E-04,  1.367E-03,  4.867E+02,  1.367E-03,  4.867E+02,  1.427E-07,  5.082E-02,  1.427E-07,  0.000E+00, 
 5.102E+06,  4.952E+00,  4.881E-01, -4.615E-04,  2.318E-03, -4.660E-05,  4.727E-04,  9.623E-04, -9.762E-03, -9.230E-06,  4.636E-05, -4.796E-03, -4.727E-04,  1.161E-03,  5.072E+02,  1.161E-03,  5.072E+02,  1.117E-07,  4.881E-02,  1.117E-07,  0.000E+00, 
 5.306E+06,  4.956E+00,  4.695E-01, -3.946E-04,  2.064E-03, -3.982E-05,  4.202E-04,  8.897E-04, -9.390E-03, -7.893E-06,  4.128E-05, -4.435E-03, -4.202E-04,  9.925E-04,  5.277E+02,  9.925E-04,  5.277E+02,  8.830E-08,  4.695E-02,  8.830E-08,  0.000E+00, 
 5.510E+06,  4.959E+00,  4.523E-01, -3.394E-04,  1.845E-03, -3.423E-05,  3.753E-04,  8.250E-04, -9.045E-03, -6.789E-06,  3.691E-05, -4.114E-03, -3.753E-04,  8.534E-04,  5.482E+02,  8.534E-04,  5.482E+02,  7.041E-08,  4.523E-02,  7.041E-08, -1.654E-24, 
 5.714E+06,  4.962E+00,  4.362E-01, -2.936E-04,  1.657E-03, -2.958E-05,  3.365E-04,  7.671E-04, -8.725E-03, -5.871E-06,  3.313E-05, -3.827E-03, -3.365E-04,  7.379E-04,  5.687E+02,  7.379E-04,  5.687E+02,  5.661E-08,  4.362E-02,  5.661E-08,  0.000E+00, 
 5.918E+06,  4.964E+00,  4.213E-01, -2.552E-04,  1.493E-03, -2.570E-05,  3.029E-04,  7.152E-04, -8.426E-03, -5.104E-06,  2.985E-05, -3.568E-03, -3.028E-04,  6.413E-04,  5.891E+02,  6.413E-04,  5.891E+02,  4.586E-08,  4.213E-02,  4.586E-08,  0.000E+00, 
 6.122E+06,  4.967E+00,  4.074E-01, -2.229E-04,  1.350E-03, -2.244E-05,  2.736E-04,  6.683E-04, -8.147E-03, -4.458E-06,  2.699E-05, -3.335E-03, -2.736E-04,  5.599E-04,  6.096E+02,  5.599E-04,  6.096E+02,  3.742E-08,  4.074E-02,  3.742E-08,  0.000E+00, 
 6.327E+06,  4.969E+00,  3.943E-01, -1.955E-04,  1.224E-03, -1.968E-05,  2.479E-04,  6.258E-04, -7.886E-03, -3.911E-06,  2.448E-05, -3.124E-03, -2.479E-04,  4.911E-04,  6.301E+02,  4.911E-04,  6.301E+02,  3.074E-08,  3.943E-02,  3.074E-08, -8.272E-25, 
 6.531E+06,  4.971E+00,  3.821E-01, -1.722E-04,  1.114E-03, -1.733E-05,  2.254E-04,  5.873E-04, -7.641E-03, -3.445E-06,  2.228E-05, -2.933E-03, -2.254E-04,  4.325E-04,  6.505E+02,  4.325E-04,  6.505E+02,  2.540E-08,  3.821E-02,  2.540E-08,  0.000E+00, 
