      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Pin),    Im(Pin),   Re(Zout),   Im(Zout),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),     Re(Av),     Im(Av),     Re(Ai),     Im(Ai), 
        Hz,          V,          V,          V,          V,          A,          A,          A,          A,          W,          W,       Ohms,       Ohms,          W,          W,       Ohms,       Ohms,           ,           ,           ,           , 
 7.755E+06,  3.345E+00, -6.964E-02,  3.596E-02, -2.089E-01,  3.309E-02,  1.393E-03,  7.191E-04, -4.179E-03,  1.106E-01, -6.964E-03,  2.772E-01, -6.442E+00,  8.989E-04,  0.000E+00,  1.008E+02, -6.348E+00,  1.204E-02, -6.220E-02,  1.639E-02, -1.270E-01, 
 7.959E+06,  3.345E+00, -6.796E-02,  3.419E-02, -2.039E-01,  3.311E-02,  1.359E-03,  6.837E-04, -4.077E-03,  1.106E-01, -6.796E-03,  2.631E-01, -6.277E+00,  8.547E-04,  2.711E-20,  1.008E+02, -6.190E+00,  1.145E-02, -6.072E-02,  1.557E-02, -1.238E-01, 
 8.163E+06,  3.344E+00, -6.635E-02,  3.254E-02, -1.990E-01,  3.312E-02,  1.327E-03,  6.508E-04, -3.981E-03,  1.107E-01, -6.635E-03,  2.502E-01, -6.121E+00,  8.136E-04, -2.711E-20,  1.007E+02, -6.040E+00,  1.091E-02, -5.930E-02,  1.481E-02, -1.208E-01, 
 8.367E+06,  3.344E+00, -6.481E-02,  3.101E-02, -1.944E-01,  3.313E-02,  1.296E-03,  6.203E-04, -3.889E-03,  1.107E-01, -6.481E-03,  2.381E-01, -5.972E+00,  7.753E-04,  0.000E+00,  1.007E+02, -5.897E+00,  1.040E-02, -5.795E-02,  1.411E-02, -1.179E-01, 
 8.571E+06,  3.343E+00, -6.334E-02,  2.959E-02, -1.900E-01,  3.314E-02,  1.267E-03,  5.918E-04, -3.801E-03,  1.107E-01, -6.334E-03,  2.270E-01, -5.830E+00,  7.397E-04,  0.000E+00,  1.007E+02, -5.760E+00,  9.924E-03, -5.665E-02,  1.345E-02, -1.152E-01, 
 8.776E+06,  3.343E+00, -6.194E-02,  2.826E-02, -1.858E-01,  3.314E-02,  1.239E-03,  5.652E-04, -3.716E-03,  1.107E-01, -6.194E-03,  2.165E-01, -5.695E+00,  7.065E-04,  0.000E+00,  1.006E+02, -5.630E+00,  9.481E-03, -5.541E-02,  1.284E-02, -1.126E-01, 
 8.980E+06,  3.342E+00, -6.059E-02,  2.702E-02, -1.818E-01,  3.315E-02,  1.212E-03,  5.403E-04, -3.635E-03,  1.107E-01, -6.059E-03,  2.068E-01, -5.566E+00,  6.754E-04, -1.355E-20,  1.006E+02, -5.505E+00,  9.066E-03, -5.422E-02,  1.227E-02, -1.101E-01, 
 9.184E+06,  3.342E+00, -5.930E-02,  2.585E-02, -1.779E-01,  3.316E-02,  1.186E-03,  5.171E-04, -3.558E-03,  1.108E-01, -5.930E-03,  1.977E-01, -5.443E+00,  6.463E-04,  0.000E+00,  1.006E+02, -5.386E+00,  8.678E-03, -5.308E-02,  1.174E-02, -1.077E-01, 
 9.388E+06,  3.342E+00, -5.806E-02,  2.476E-02, -1.742E-01,  3.317E-02,  1.161E-03,  4.953E-04, -3.484E-03,  1.108E-01, -5.806E-03,  1.892E-01, -5.325E+00,  6.191E-04,  0.000E+00,  1.006E+02, -5.271E+00,  8.314E-03, -5.198E-02,  1.124E-02, -1.054E-01, 
 9.592E+06,  3.341E+00, -5.687E-02,  2.374E-02, -1.706E-01,  3.318E-02,  1.137E-03,  4.748E-04, -3.412E-03,  1.108E-01, -5.687E-03,  1.813E-01, -5.212E+00,  5.935E-04,  0.000E+00,  1.005E+02, -5.162E+00,  7.972E-03, -5.093E-02,  1.077E-02, -1.032E-01, 
 9.796E+06,  3.341E+00, -5.573E-02,  2.278E-02, -1.672E-01,  3.318E-02,  1.115E-03,  4.556E-04, -3.344E-03,  1.108E-01, -5.573E-03,  1.738E-01, -5.103E+00,  5.695E-04,  0.000E+00,  1.005E+02, -5.056E+00,  7.651E-03, -4.992E-02,  1.033E-02, -1.011E-01, 
 1.000E+07,  3.341E+00, -5.464E-02,  2.188E-02, -1.639E-01,  3.319E-02,  1.093E-03,  4.375E-04, -3.278E-03,  1.108E-01, -5.464E-03,  1.668E-01, -4.999E+00,  5.469E-04,  0.000E+00,  1.005E+02, -4.955E+00,  7.349E-03, -4.895E-02,  9.920E-03, -9.910E-02, 
